Airline,Departure Airport,Arrival Airport,Aircraft Type,Departure Planned Time,Departure Time,Arrival Planned Time,Arrival Time,Distance,Number of Containers,Cargo Weight,Freight Load Factor,Cargo Type,Priority Cargo,Special Handling,Temperature-Controlled Freight,Dangerous Goods,Peak Freight Season,Departure Weather Conditions,Delay
BA,MAN,SHA,A320,21/01/2024 05:31,21/01/2024 05:31,21/01/2024 11:31,21/01/2024 07:31,5348,8,2887,90.24,Pharmaceuticals,Yes,Yes,Yes,No,Yes,Fog,Yes
QR,MAN,HND,B777,31/08/2024 17:59,31/08/2024 17:59,01/09/2024 00:59,31/08/2024 22:59,1200,15,4193,63.52,General Cargo,No,Yes,No,No,Yes,Clear,Yes
EK,LGW,AKL,A320,16/06/2024 08:44,16/06/2024 08:44,16/06/2024 15:44,16/06/2024 13:44,3992,12,2474,81.31,Electronics,No,Yes,Yes,Yes,No,Clear,Yes
UA,MAN,LAX,B787,08/04/2024 19:04,08/04/2024 19:44,08/04/2024 21:04,08/04/2024 21:44,7063,5,2991,81.77,Electronics,Yes,Yes,No,Yes,No,Fog,Yes
QR,ABZ,DEL,B777,02/04/2024 12:03,02/04/2024 12:03,02/04/2024 15:03,02/04/2024 13:03,6658,8,4994,55.18,Pharmaceuticals,Yes,No,No,No,No,Fog,Yes
CV,LGW,CAI,A320,09/07/2024 13:08,09/07/2024 13:08,09/07/2024 18:08,09/07/2024 15:08,8886,8,2110,69.07,Perishables,No,Yes,Yes,No,Yes,Clear,Yes
QR,BHX,KUL,A350,12/06/2024 23:12,13/06/2024 01:26,13/06/2024 00:12,13/06/2024 02:26,8329,20,2898,75.51,Pharmaceuticals,No,Yes,No,Yes,Yes,Rain,Yes
CK,BHX,DEL,B787,03/11/2024 06:01,03/11/2024 07:01,03/11/2024 13:01,03/11/2024 14:01,3223,10,4447,85.38,Perishables,Yes,Yes,Yes,No,No,Clear,Yes
CX,BHX,NRT,B787,05/06/2024 13:25,05/06/2024 13:25,05/06/2024 20:25,05/06/2024 14:25,9916,14,4134,52.97,Perishables,Yes,No,Yes,Yes,No,Rain,Yes
CX,ABZ,CPT,A350,02/10/2024 11:54,02/10/2024 12:16,02/10/2024 18:54,02/10/2024 19:16,1908,20,2387,58.9,Pharmaceuticals,No,No,No,No,Yes,Rain,Yes
BA,LHR,ORD,A320,07/08/2024 09:54,07/08/2024 09:54,07/08/2024 12:54,07/08/2024 13:54,7161,14,3795,64.86,Electronics,Yes,No,Yes,No,Yes,Snow,Yes
BA,LGW,IAH,B787,05/12/2024 04:18,05/12/2024 06:46,05/12/2024 11:18,05/12/2024 13:46,1687,12,1386,59.73,Electronics,No,Yes,No,Yes,Yes,Fog,Yes
AA,LGW,ATL,B777,04/08/2024 11:54,04/08/2024 12:28,04/08/2024 15:54,04/08/2024 16:28,2444,1,1178,66.01,Healthcare,Yes,Yes,Yes,No,Yes,Rain,Yes
BA,ABZ,DFW,A350,07/01/2024 18:48,07/01/2024 18:48,07/01/2024 22:48,07/01/2024 20:48,9765,14,3841,52.21,Electronics,Yes,No,Yes,No,No,Fog,Yes
VS,MAN,DFW,B777,20/03/2024 19:18,20/03/2024 21:21,21/03/2024 02:18,21/03/2024 04:21,9653,5,2395,65.55,Healthcare,No,Yes,No,No,No,Clear,Yes
BA,ABZ,CAI,A350,03/06/2024 09:33,03/06/2024 10:18,03/06/2024 16:33,03/06/2024 17:18,9531,4,4127,82.66,Pharmaceuticals,Yes,Yes,No,No,Yes,Clear,Yes
CV,ABZ,BNE,B787,13/05/2024 22:16,13/05/2024 22:30,14/05/2024 01:16,14/05/2024 01:30,2245,14,3506,57.81,General Cargo,No,No,No,No,No,Fog,Yes
CK,MAN,DEL,B787,10/10/2024 02:10,10/10/2024 04:01,10/10/2024 07:10,10/10/2024 09:01,8459,9,1484,56.93,General Cargo,Yes,No,Yes,Yes,No,Snow,Yes
CV,MAN,SIN,B787,23/02/2024 23:38,23/02/2024 23:46,24/02/2024 02:38,24/02/2024 02:46,3531,18,3728,74.3,Pharmaceuticals,No,No,No,Yes,Yes,Snow,Yes
GF,ABZ,NRT,A380,22/11/2024 08:44,22/11/2024 08:44,22/11/2024 14:44,22/11/2024 09:44,9257,1,4737,72.92,General Cargo,No,Yes,Yes,No,No,Fog,Yes
AC,NCL,YUL,A350,14/07/2024 02:58,14/07/2024 03:58,14/07/2024 05:58,14/07/2024 06:58,9477,17,3214,86.55,General Cargo,No,Yes,No,Yes,Yes,Fog,Yes
QR,LHR,BNE,A380,17/08/2024 06:43,17/08/2024 06:52,17/08/2024 08:43,17/08/2024 08:52,6159,2,2890,53.68,General Cargo,No,No,No,No,Yes,Fog,Yes
TK,MAN,DOH,B777,03/03/2024 03:36,03/03/2024 04:13,03/03/2024 06:36,03/03/2024 07:13,9333,7,1548,59.98,Perishables,No,No,Yes,Yes,No,Rain,Yes
TK,MAN,KUL,A350,23/06/2024 02:51,23/06/2024 05:26,23/06/2024 06:51,23/06/2024 09:26,3050,14,1031,59.45,Pharmaceuticals,Yes,Yes,Yes,No,Yes,Rain,Yes
BA,MAN,CAI,A320,30/05/2024 17:49,30/05/2024 20:08,31/05/2024 00:49,31/05/2024 03:08,4397,8,4452,81.46,Pharmaceuticals,No,Yes,No,No,No,Clear,Yes
LA,BRS,VCP,A350,19/02/2024 03:54,19/02/2024 04:29,19/02/2024 08:54,19/02/2024 09:29,7052,14,2204,50.54,Pharmaceuticals,No,No,Yes,No,No,Rain,Yes
CK,MAN,NRT,B787,26/12/2024 01:23,26/12/2024 01:23,26/12/2024 07:23,26/12/2024 04:23,4914,10,4738,76.49,General Cargo,Yes,No,Yes,Yes,Yes,Snow,Yes
CV,LHR,VCP,A320,28/08/2024 12:00,28/08/2024 12:02,28/08/2024 17:00,28/08/2024 17:02,5943,20,3205,60.87,Healthcare,No,Yes,Yes,No,Yes,Snow,Yes
BA,LHR,CAI,B787,07/04/2024 17:53,07/04/2024 18:00,07/04/2024 22:53,07/04/2024 23:00,5883,6,3115,71.36,Pharmaceuticals,No,No,Yes,Yes,Yes,Rain,Yes
BA,MAN,IAH,A320,07/02/2024 13:07,07/02/2024 13:44,07/02/2024 19:07,07/02/2024 19:44,7920,5,4940,63.73,Electronics,Yes,No,Yes,No,No,Clear,Yes
SQ,LHR,ICN,A350,02/04/2024 19:20,02/04/2024 20:36,02/04/2024 20:20,02/04/2024 21:36,1788,1,1250,57.22,Healthcare,Yes,No,No,Yes,Yes,Fog,Yes
QR,BRS,DOH,A320,29/09/2024 15:57,29/09/2024 16:21,29/09/2024 21:57,29/09/2024 22:21,7421,13,1010,55.97,Healthcare,Yes,No,No,Yes,Yes,Rain,Yes
EY,ABZ,ICN,A350,21/03/2024 06:24,21/03/2024 06:24,21/03/2024 09:24,21/03/2024 09:24,1783,10,1996,52.81,Perishables,Yes,No,No,Yes,Yes,Snow,Yes
QR,BRS,HND,A380,14/04/2024 04:39,14/04/2024 04:39,14/04/2024 05:39,14/04/2024 08:39,6924,12,2892,87.72,Pharmaceuticals,Yes,Yes,Yes,No,No,Snow,Yes
QT,BRS,GRU,A320,28/12/2024 03:21,28/12/2024 04:10,28/12/2024 04:21,28/12/2024 05:10,6924,2,3599,74.56,Perishables,Yes,Yes,No,No,Yes,Fog,Yes
GF,NCL,MEL,A320,18/01/2024 06:00,18/01/2024 06:01,18/01/2024 11:00,18/01/2024 11:01,8186,13,4805,53.36,Pharmaceuticals,No,Yes,Yes,No,No,Snow,Yes
AC,LGW,YUL,B777,22/03/2024 10:58,22/03/2024 10:58,22/03/2024 14:58,22/03/2024 12:58,5103,9,4396,,Pharmaceuticals,No,Yes,No,No,Yes,Snow,Yes
QR,MAN,DOH,A350,06/07/2024 05:15,06/07/2024 05:15,06/07/2024 06:15,06/07/2024 08:15,3908,9,4438,72.93,Pharmaceuticals,No,Yes,No,No,Yes,Snow,Yes
CK,LHR,MCT,A350,13/01/2024 23:17,14/01/2024 00:14,14/01/2024 01:17,14/01/2024 02:14,5945,11,1269,78.5,Electronics,Yes,No,No,No,Yes,Snow,Yes
TP,NCL,VCP,A350,19/03/2024 17:22,19/03/2024 17:41,19/03/2024 20:22,19/03/2024 20:41,4957,5,3788,50.27,General Cargo,Yes,Yes,No,Yes,Yes,Rain,Yes
EY,LGW,DXB,B777,11/03/2024 23:17,11/03/2024 23:17,12/03/2024 01:17,12/03/2024 02:17,5728,1,4004,76.86,Electronics,No,Yes,No,No,Yes,Fog,Yes
VS,NCL,SCL,A320,11/07/2024 03:45,11/07/2024 04:02,11/07/2024 04:45,11/07/2024 05:02,2783,13,1003,78.62,Electronics,No,No,Yes,Yes,No,Rain,Yes
VS,BHX,ATL,A320,07/09/2024 14:11,07/09/2024 15:31,07/09/2024 20:11,07/09/2024 21:31,9929,7,1127,54.27,Perishables,No,No,No,Yes,No,Clear,Yes
EK,BRS,JNB,B777,23/11/2024 00:53,23/11/2024 00:53,23/11/2024 06:53,23/11/2024 04:53,8109,20,2443,58.97,Electronics,No,Yes,No,Yes,Yes,Clear,Yes
GF,LHR,BJS,B777,14/11/2024 22:59,15/11/2024 01:32,15/11/2024 02:59,15/11/2024 05:32,6055,14,2696,90.35,Electronics,Yes,No,No,No,Yes,Snow,Yes
GF,LHR,CAI,A320,05/05/2024 18:40,05/05/2024 20:45,05/05/2024 20:40,05/05/2024 22:45,6677,9,3837,57.64,Perishables,No,Yes,Yes,No,Yes,Rain,Yes
BA,LHR,GIG,B777,03/09/2024 16:37,03/09/2024 19:06,03/09/2024 22:37,04/09/2024 01:06,6555,8,2035,83.65,Electronics,Yes,Yes,Yes,Yes,Yes,Clear,Yes
AC,MAN,YYZ,A380,25/02/2024 22:18,25/02/2024 23:12,25/02/2024 23:18,26/02/2024 00:12,1340,5,2408,72.33,Perishables,No,No,Yes,No,Yes,Rain,Yes
BA,NCL,ATL,A350,03/11/2024 20:28,03/11/2024 22:33,03/11/2024 23:28,04/11/2024 01:33,6698,2,4361,58.75,Healthcare,No,Yes,No,No,Yes,Fog,Yes
QT,MAN,VCP,B787,03/10/2024 20:15,03/10/2024 20:27,03/10/2024 21:15,03/10/2024 21:27,4929,3,3897,67.83,Perishables,No,Yes,Yes,No,Yes,Snow,Yes
VS,ABZ,SCL,A320,09/04/2024 09:42,09/04/2024 09:42,09/04/2024 16:42,09/04/2024 14:42,7239,18,2891,62.74,Perishables,No,No,No,No,No,Clear,Yes
SQ,LGW,KIX,A380,17/04/2024 14:33,17/04/2024 14:47,17/04/2024 21:33,17/04/2024 21:47,3766,18,1511,80.58,Healthcare,Yes,Yes,No,Yes,No,Rain,Yes
DL,ABZ,LAX,A380,05/04/2024 18:01,05/04/2024 20:42,06/04/2024 00:01,06/04/2024 02:42,9374,15,4172,50.42,Pharmaceuticals,Yes,Yes,Yes,Yes,No,Rain,Yes
GF,LHR,SHA,A320,14/10/2024 08:19,14/10/2024 08:20,14/10/2024 13:19,14/10/2024 13:20,6733,17,4673,70.44,Pharmaceuticals,No,Yes,No,No,No,Rain,Yes
EK,NCL,KIX,A380,06/04/2024 22:22,07/04/2024 00:41,07/04/2024 00:22,07/04/2024 02:41,6169,8,4716,89.39,Healthcare,No,Yes,No,Yes,No,Rain,Yes
BA,BHX,DEN,B777,06/04/2024 14:35,06/04/2024 15:22,06/04/2024 16:35,06/04/2024 17:22,6136,10,1471,82.64,Perishables,No,Yes,Yes,No,No,Snow,Yes
DL,BHX,DFW,A350,24/02/2024 00:15,24/02/2024 00:21,24/02/2024 03:15,24/02/2024 03:21,7421,10,3505,73.28,General Cargo,Yes,No,Yes,No,Yes,Clear,Yes
CV,LGW,MEL,B787,19/03/2024 02:22,19/03/2024 02:24,19/03/2024 09:22,19/03/2024 09:24,2577,17,3270,54.42,Healthcare,No,No,No,Yes,No,Clear,Yes
CX,MAN,NRT,A350,03/01/2024 17:42,03/01/2024 17:49,03/01/2024 23:42,03/01/2024 23:49,1213,11,4710,51.96,General Cargo,No,Yes,No,Yes,No,Rain,Yes
QR,LHR,KIX,A320,12/04/2024 09:06,12/04/2024 09:08,12/04/2024 13:06,12/04/2024 13:08,7906,10,3735,64.75,Healthcare,Yes,No,No,Yes,No,Snow,Yes
CK,LHR,BKK,A320,27/07/2024 00:09,27/07/2024 00:28,27/07/2024 07:09,27/07/2024 07:28,5531,1,1729,80.72,Electronics,Yes,Yes,Yes,No,Yes,Clear,Yes
AA,ABZ,JFK,A350,02/03/2024 16:45,02/03/2024 17:03,02/03/2024 21:45,02/03/2024 22:03,4775,8,1500,75.04,Electronics,No,Yes,Yes,Yes,Yes,Rain,Yes
EK,ABZ,CAI,A320,27/09/2024 22:59,27/09/2024 23:30,28/09/2024 01:59,28/09/2024 02:30,3189,17,4834,85.28,Electronics,No,Yes,Yes,Yes,No,Fog,Yes
AC,BRS,YYZ,B777,26/04/2024 05:40,26/04/2024 05:40,26/04/2024 06:40,26/04/2024 10:40,6831,10,1239,79.32,General Cargo,No,Yes,No,Yes,No,Snow,Yes
EK,LGW,NRT,A380,24/05/2024 23:36,25/05/2024 01:38,25/05/2024 03:36,25/05/2024 05:38,9665,11,3238,78.78,Perishables,No,Yes,Yes,No,Yes,Rain,Yes
BA,BHX,JNB,A350,02/12/2024 16:52,02/12/2024 17:42,02/12/2024 21:52,02/12/2024 22:42,5098,17,3906,74.31,Pharmaceuticals,No,No,Yes,Yes,Yes,Fog,Yes
TK,MAN,CAI,A380,28/05/2024 17:54,28/05/2024 18:31,28/05/2024 21:54,28/05/2024 22:31,8524,4,2960,82.95,Pharmaceuticals,Yes,Yes,Yes,Yes,Yes,Snow,Yes
BA,BHX,AKL,B787,10/04/2024 12:17,10/04/2024 12:46,10/04/2024 19:17,10/04/2024 19:46,1971,6,1209,90.75,General Cargo,Yes,Yes,No,No,Yes,Fog,Yes
CX,LHR,AUH,B787,11/05/2024 17:58,11/05/2024 17:58,12/05/2024 00:58,11/05/2024 19:58,5572,11,2797,52.92,Perishables,Yes,Yes,No,Yes,No,Fog,Yes
UA,LGW,ORD,A380,03/09/2024 18:25,03/09/2024 19:11,04/09/2024 00:25,04/09/2024 01:11,2724,7,2362,77.5,Electronics,Yes,No,Yes,Yes,Yes,Rain,Yes
LH,ABZ,GIG,B787,01/04/2024 16:17,01/04/2024 18:54,01/04/2024 17:17,01/04/2024 19:54,3910,18,2262,62.06,Healthcare,Yes,No,Yes,Yes,No,Rain,Yes
EY,BRS,DXB,B777,16/03/2024 16:55,16/03/2024 19:34,16/03/2024 20:55,16/03/2024 23:34,7515,17,4007,51.22,Healthcare,Yes,Yes,No,Yes,No,Clear,Yes
TK,BHX,TPE,A350,27/04/2024 06:45,27/04/2024 06:45,27/04/2024 12:45,27/04/2024 10:45,7882,10,2528,58.75,General Cargo,Yes,No,No,No,Yes,Snow,Yes
SQ,ABZ,KUL,A350,13/11/2024 00:48,13/11/2024 00:58,13/11/2024 05:48,13/11/2024 05:58,9270,14,3471,72.25,Electronics,Yes,No,Yes,Yes,No,Clear,Yes
EY,LGW,DEL,A380,13/12/2024 05:15,13/12/2024 05:51,13/12/2024 08:15,13/12/2024 08:51,8576,18,4074,87.82,General Cargo,No,No,Yes,Yes,No,Snow,Yes
CK,BRS,CPT,B777,02/06/2024 13:06,02/06/2024 13:07,02/06/2024 16:06,02/06/2024 16:07,2763,1,2523,50.19,Pharmaceuticals,Yes,No,Yes,Yes,No,Snow,Yes
TK,BRS,CAI,A350,08/03/2024 10:01,08/03/2024 11:50,08/03/2024 14:01,08/03/2024 15:50,1460,20,4774,50.8,Perishables,No,Yes,No,No,Yes,Fog,Yes
IB,LHR,GRU,A380,25/09/2024 13:23,25/09/2024 13:23,25/09/2024 17:23,25/09/2024 16:23,4043,10,4656,90.53,Pharmaceuticals,No,Yes,No,No,Yes,Clear,Yes
TK,BHX,SHA,A350,06/03/2024 09:08,06/03/2024 09:23,06/03/2024 13:08,06/03/2024 13:23,6820,1,2121,77.35,General Cargo,No,Yes,No,No,Yes,Rain,Yes
AC,BRS,YYZ,A380,09/05/2024 19:19,09/05/2024 19:42,09/05/2024 21:19,09/05/2024 21:42,5675,5,3688,75.89,Healthcare,No,No,No,No,Yes,Snow,Yes
EY,BHX,BKK,B777,09/04/2024 13:15,09/04/2024 14:09,09/04/2024 19:15,09/04/2024 20:09,2900,6,3877,72.99,Perishables,Yes,No,Yes,No,No,Clear,Yes
UA,LHR,IAH,A380,10/07/2024 03:21,10/07/2024 05:13,10/07/2024 09:21,10/07/2024 11:13,1612,18,3521,62,Electronics,Yes,No,No,No,Yes,Clear,Yes
QT,NCL,GRU,A350,20/02/2024 07:06,20/02/2024 07:06,20/02/2024 12:06,20/02/2024 10:06,2197,5,3048,51.51,Electronics,Yes,No,No,No,Yes,Clear,Yes
SQ,LGW,KIX,A320,16/04/2024 04:47,16/04/2024 04:47,16/04/2024 07:47,16/04/2024 06:47,9511,18,2606,64.61,Pharmaceuticals,No,Yes,Yes,No,Yes,Clear,Yes
BA,LHR,GRU,A350,09/03/2024 22:52,09/03/2024 22:52,10/03/2024 04:52,10/03/2024 02:52,4394,8,1537,77.43,General Cargo,Yes,No,Yes,No,Yes,Fog,Yes
QR,BHX,MCT,A380,17/01/2024 20:07,17/01/2024 22:19,18/01/2024 01:07,18/01/2024 03:19,7746,4,3012,67.09,Electronics,Yes,Yes,Yes,Yes,Yes,Fog,Yes
EY,BRS,DXB,B777,04/02/2024 22:13,04/02/2024 22:13,05/02/2024 05:13,05/02/2024 02:13,4819,8,2680,57.08,General Cargo,No,No,Yes,Yes,No,Clear,Yes
CX,NCL,BKK,A320,25/08/2024 01:40,25/08/2024 02:17,25/08/2024 08:40,25/08/2024 09:17,3019,19,1616,50.53,Electronics,No,No,No,No,No,Rain,Yes
BA,BHX,HND,B777,13/09/2024 11:38,13/09/2024 11:42,13/09/2024 17:38,13/09/2024 17:42,9425,6,4432,89.12,Perishables,Yes,Yes,No,No,Yes,Snow,Yes
SQ,NCL,KUL,A350,30/04/2024 03:17,30/04/2024 03:17,30/04/2024 05:17,30/04/2024 05:17,8622,3,4360,53.07,General Cargo,No,Yes,Yes,No,No,Snow,Yes
BA,BHX,JFK,B777,19/12/2024 05:07,19/12/2024 05:07,19/12/2024 09:07,19/12/2024 10:07,2403,20,4178,85.98,General Cargo,No,Yes,No,Yes,Yes,Clear,Yes
DL,NCL,DEN,A350,24/11/2024 01:07,24/11/2024 02:17,24/11/2024 05:07,24/11/2024 06:17,5416,12,3904,64.07,General Cargo,No,No,No,Yes,Yes,Snow,Yes
CK,LHR,CAI,A380,27/12/2024 11:13,27/12/2024 11:29,27/12/2024 13:13,27/12/2024 13:29,6428,17,1547,84.33,Pharmaceuticals,No,No,Yes,No,Yes,Snow,Yes
AC,BHX,YYZ,B777,15/06/2024 19:23,15/06/2024 19:52,16/06/2024 01:23,16/06/2024 01:52,2745,7,4792,57.06,Perishables,No,Yes,Yes,No,No,Rain,Yes
CV,MAN,BOM,B787,02/09/2024 11:21,02/09/2024 11:21,02/09/2024 17:21,02/09/2024 13:21,6655,6,4364,73.97,Electronics,Yes,Yes,Yes,No,Yes,Snow,Yes
AC,MAN,YUL,A350,24/05/2024 18:49,24/05/2024 18:49,24/05/2024 23:49,24/05/2024 20:49,2894,18,3243,54.05,Perishables,No,Yes,Yes,Yes,No,Fog,Yes
SQ,BRS,ICN,A320,04/09/2024 05:20,04/09/2024 05:27,04/09/2024 09:20,04/09/2024 09:27,7248,1,2726,63.91,General Cargo,No,No,No,No,Yes,Rain,Yes
TP,BRS,VCP,A380,08/11/2024 19:31,08/11/2024 19:43,08/11/2024 23:31,08/11/2024 23:43,6465,14,3348,50.72,Perishables,Yes,Yes,Yes,No,No,Fog,Yes
LH,ABZ,GIG,A320,01/02/2024 09:25,01/02/2024 09:36,01/02/2024 15:25,01/02/2024 15:36,7876,1,4465,51.27,Pharmaceuticals,Yes,No,No,Yes,Yes,Rain,Yes
SQ,LHR,DXB,B777,08/12/2024 06:39,08/12/2024 06:39,08/12/2024 07:39,08/12/2024 11:39,4793,12,3342,60.99,Perishables,Yes,Yes,Yes,Yes,Yes,Rain,Yes
BA,MAN,DXB,A350,16/08/2024 01:19,16/08/2024 01:22,16/08/2024 06:19,16/08/2024 06:22,1360,17,4659,75.99,Pharmaceuticals,Yes,No,No,Yes,Yes,Rain,Yes
LA,MAN,VCP,A320,30/01/2024 11:52,30/01/2024 13:44,30/01/2024 13:52,30/01/2024 15:44,2694,4,3477,56.59,Perishables,Yes,Yes,No,No,Yes,Snow,Yes
CV,BRS,SIN,B787,04/07/2024 03:32,04/07/2024 03:47,04/07/2024 05:32,04/07/2024 05:47,7137,3,1179,84.26,Pharmaceuticals,Yes,Yes,No,Yes,Yes,Clear,Yes
DL,BHX,JFK,B787,28/07/2024 04:29,28/07/2024 04:29,28/07/2024 08:29,28/07/2024 07:29,1407,4,4353,53.74,Electronics,No,Yes,Yes,No,Yes,Rain,Yes
GF,BHX,AUH,A320,06/10/2024 01:52,06/10/2024 02:00,06/10/2024 03:52,06/10/2024 04:00,5388,2,3835,66.92,Pharmaceuticals,No,No,Yes,No,No,Fog,Yes
EY,LGW,SIN,A380,30/06/2024 12:18,30/06/2024 12:21,30/06/2024 14:18,30/06/2024 14:21,3987,13,2645,68.4,General Cargo,No,No,No,Yes,No,Rain,Yes
CK,NCL,XMN,B777,11/09/2024 11:01,11/09/2024 11:12,11/09/2024 17:01,11/09/2024 17:12,4448,14,1028,70.59,Perishables,Yes,Yes,Yes,No,No,Clear,Yes
UA,NCL,DEN,B787,14/09/2024 04:06,14/09/2024 04:18,14/09/2024 08:06,14/09/2024 08:18,1099,1,1244,78.38,General Cargo,Yes,No,Yes,Yes,Yes,Snow,Yes
UA,BRS,JFK,A320,24/11/2024 14:36,24/11/2024 16:51,24/11/2024 19:36,24/11/2024 21:51,6602,11,3777,68.48,Electronics,Yes,No,No,Yes,No,Fog,Yes
GF,BHX,CPT,B777,17/06/2024 20:45,17/06/2024 21:03,18/06/2024 03:45,18/06/2024 04:03,4214,16,3460,55.92,Electronics,Yes,No,Yes,Yes,No,Clear,Yes
BA,BHX,DFW,A380,09/02/2024 02:14,09/02/2024 02:30,09/02/2024 06:14,09/02/2024 06:30,2563,5,2853,89.43,Perishables,No,Yes,No,No,Yes,Fog,Yes
BA,ABZ,BKK,A320,11/01/2024 11:25,11/01/2024 11:30,11/01/2024 16:25,11/01/2024 16:30,9817,2,3897,58.53,General Cargo,Yes,Yes,No,No,No,Clear,Yes
QR,BHX,BOM,B787,24/08/2024 16:26,24/08/2024 16:26,24/08/2024 22:26,24/08/2024 18:26,7183,17,3804,58.85,General Cargo,Yes,Yes,No,No,Yes,Fog,Yes
BA,BRS,TPE,B787,07/07/2024 03:39,07/07/2024 03:55,07/07/2024 07:39,07/07/2024 07:55,5447,15,4879,57.55,Electronics,No,Yes,Yes,Yes,No,Snow,Yes
GF,NCL,BNE,B777,30/03/2024 04:47,30/03/2024 04:48,30/03/2024 10:47,30/03/2024 10:48,9050,14,4582,52.69,Electronics,No,No,Yes,Yes,Yes,Rain,Yes
GF,ABZ,BKK,A350,31/08/2024 21:27,01/09/2024 00:05,01/09/2024 02:27,01/09/2024 05:05,7176,15,2803,84.9,Perishables,No,No,No,No,No,Fog,Yes
UA,BRS,SCL,A320,12/04/2024 09:44,12/04/2024 11:59,12/04/2024 13:44,12/04/2024 15:59,8701,13,2470,71.2,Pharmaceuticals,No,Yes,Yes,No,No,Snow,Yes
QR,BHX,BNE,A320,29/06/2024 00:06,29/06/2024 02:47,29/06/2024 02:06,29/06/2024 04:47,7871,3,3591,81.97,Healthcare,Yes,Yes,Yes,No,No,Rain,Yes
EK,MAN,KIX,B777,19/06/2024 14:37,19/06/2024 14:52,19/06/2024 17:37,19/06/2024 17:52,7515,11,3841,61.67,Healthcare,Yes,Yes,No,No,Yes,Clear,Yes
BA,ABZ,BKK,A350,10/01/2024 11:53,10/01/2024 11:53,10/01/2024 15:53,10/01/2024 13:53,1820,10,4333,73.09,General Cargo,No,Yes,Yes,No,No,Rain,Yes
CX,NCL,IST,A380,07/10/2024 22:11,07/10/2024 22:13,08/10/2024 03:11,08/10/2024 03:13,6685,10,1359,79.99,General Cargo,Yes,Yes,No,Yes,Yes,Rain,Yes
EY,LHR,AUH,A320,04/11/2024 17:42,04/11/2024 17:45,04/11/2024 22:42,04/11/2024 22:45,2516,5,4806,56.96,Pharmaceuticals,No,Yes,No,Yes,Yes,Clear,Yes
AA,BHX,ORD,B787,11/09/2024 12:49,11/09/2024 14:31,11/09/2024 16:49,11/09/2024 18:31,8864,12,4363,77.66,Healthcare,Yes,No,No,Yes,No,Rain,Yes
QR,MAN,XMN,A350,09/03/2024 01:41,09/03/2024 01:42,09/03/2024 04:41,09/03/2024 04:42,8731,12,1521,68.14,General Cargo,Yes,No,No,No,No,Rain,Yes
EK,BRS,BJS,A320,12/12/2024 23:34,12/12/2024 23:48,13/12/2024 05:34,13/12/2024 05:48,1513,14,2868,56.15,Electronics,Yes,Yes,No,No,No,Fog,Yes
EK,LGW,DEL,B787,29/05/2024 03:48,29/05/2024 03:48,29/05/2024 04:48,29/05/2024 05:48,1430,6,2424,73.22,General Cargo,Yes,No,Yes,No,Yes,Snow,Yes
SQ,BHX,ICN,A320,19/08/2024 22:30,20/08/2024 01:21,20/08/2024 01:30,20/08/2024 04:21,1990,20,3155,84.22,General Cargo,Yes,No,Yes,Yes,No,Clear,Yes
CK,MAN,AUH,A350,25/10/2024 01:54,25/10/2024 02:11,25/10/2024 06:54,25/10/2024 07:11,1909,10,2354,53.54,Healthcare,Yes,No,No,No,Yes,Snow,Yes
TK,MAN,MCT,A320,27/01/2024 03:15,27/01/2024 04:05,27/01/2024 04:15,27/01/2024 05:05,8102,1,2719,68.93,Electronics,Yes,No,Yes,Yes,Yes,Clear,Yes
GF,LGW,SYD,B777,07/12/2024 17:56,07/12/2024 17:56,07/12/2024 21:56,07/12/2024 21:56,2532,17,2693,54.75,Perishables,No,No,Yes,Yes,Yes,Clear,Yes
BA,LHR,SYD,B777,16/12/2024 11:30,16/12/2024 12:53,16/12/2024 16:30,16/12/2024 17:53,2176,7,3269,60.85,General Cargo,Yes,No,Yes,Yes,Yes,Snow,Yes
TK,LGW,KIX,B787,24/05/2024 17:36,24/05/2024 18:15,24/05/2024 23:36,25/05/2024 00:15,9163,17,2255,84.44,General Cargo,Yes,No,Yes,Yes,Yes,Fog,Yes
CX,LGW,MCT,A380,02/03/2024 03:35,02/03/2024 03:35,02/03/2024 04:35,02/03/2024 05:35,6241,3,1316,72.24,Perishables,No,Yes,Yes,No,No,Snow,Yes
AA,BHX,SCL,A320,26/04/2024 03:58,26/04/2024 03:58,26/04/2024 05:58,26/04/2024 05:58,1304,16,3245,67.27,Perishables,No,Yes,Yes,Yes,No,Clear,Yes
CK,LGW,CAI,A380,23/10/2024 12:38,23/10/2024 13:08,23/10/2024 16:38,23/10/2024 17:08,9680,3,2888,71.26,General Cargo,No,Yes,Yes,Yes,Yes,Fog,Yes
CK,BHX,SIN,B787,07/05/2024 18:20,07/05/2024 20:52,08/05/2024 00:20,08/05/2024 02:52,4774,16,3036,71.13,Healthcare,No,No,No,Yes,Yes,Fog,Yes
CX,ABZ,DEL,A380,25/03/2024 20:48,25/03/2024 20:48,26/03/2024 02:48,25/03/2024 23:48,6687,2,4971,84.9,Perishables,Yes,Yes,Yes,Yes,Yes,Clear,Yes
CV,ABZ,CAI,B777,03/11/2024 07:37,03/11/2024 07:48,03/11/2024 12:37,03/11/2024 12:48,5180,5,4118,63.25,Healthcare,No,No,No,Yes,No,Snow,Yes
